Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Cocktails,Vodka",Very likely,Online,Social gatherings,Mango,Can,Pack of 2,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹200–₹300,Neutral,"Limited flavour options,Not enough information/branding",No,Yes,Always,Yes,Retail shop
18-24,Male,Entrepreneur,"20,000–50,000",Metro,Occasionally,"Cocktails,Beer",Likely,Retail shop,Social gatherings,"Lime,Classic",Glass bottle,Pack of 2,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Very likely,"Poor packaging,High price",No,Yes,Often,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Gin,Whiskey",Neutral,Online,At home,"Pineapple,Guava",Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,<₹100,Likely,"Limited flavour options,Health concerns,High price",Maybe,No,Often,No,Online
25-34,Female,Other,"20,000–50,000",Metro,Occasionally,"Other,Beer,Whiskey",Very unlikely,Online,Outdoors,Pineapple,Glass bottle,Pack of 24,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,Doesn’t matter,<₹100,Neutral,"Lack of availability,High price,Limited flavour options",Maybe,Yes,Never,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Vodka,Cocktails,Beer",Likely,Online,At home,"Mango,Guava",Can,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,>₹300,Very likely,High price,No,Yes,Often,Yes,Retail shop
25-34,Female,Working Professional,">1,00,000",Metro,Occasionally,"Vodka,Beer",Neutral,Online,Social gatherings,Orange,Glass bottle,Pack of 12,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Likely,"Lack of availability,Limited flavour options,Poor packaging",Yes,Yes,Often,No,Retail shop
25-34,Male,Homemaker,"50,000–1,00,000",Tier 1,Occasionally,"Beer,Cocktails,Whiskey",Likely,Bar,Social gatherings,"Orange,Mint",Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Doesn’t matter,<₹100,Very likely,"Poor packaging,Lack of availability",Yes,Maybe,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Frequently,"Whiskey,Beer",Neutral,Retail shop,Social gatherings,"Guava,Litchi,Pineapple",Glass bottle,Pack of 2,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,₹200–₹300,Unlikely,"Health concerns,Lack of availability,Not enough information/branding",Maybe,Yes,Always,Yes,Bar
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Frequently,"Rum,Beer,Whiskey",Very likely,Bar,At home,Coffee,Can,Pack of 2,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Not at all,Doesn’t matter,₹200–₹300,Likely,"Lack of availability,High price",Yes,No,Always,Yes,Retail shop
25-34,Non-binary/Other,Entrepreneur,"50,000–1,00,000",Tier 2,Occasionally,Other,Neutral,Duty-free,Restaurants,"Litchi,Pineapple,Orange",Glass bottle,Pack of 6,Very interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Doesn’t matter,₹200–₹300,Likely,"High price,Health concerns,Limited flavour options",Yes,Maybe,Often,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,Cocktails,Very likely,Restaurant,Social gatherings,"Mango,Coffee",Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Doesn’t matter,<₹100,Likely,"High price,Health concerns",Yes,No,Occasionally,Yes,Retail shop
18-24,Female,Homemaker,"20,000–50,000",Tier 1,Rarely,"Whiskey,Vodka,Beer",Very unlikely,Restaurant,Social gatherings,"Berry,Lime,Mango",Can,Pack of 6,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Very likely,"Lack of availability,Health concerns,Limited flavour options",Yes,Yes,Occasionally,No,Bar
25-34,Female,Working Professional,"50,000–1,00,000",Tier 1,Frequently,"Gin,Whiskey",Neutral,Duty-free,Social gatherings,Lime,Glass bottle,Pack of 2,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Moderately,Doesn’t matter,<₹100,Neutral,"Poor packaging,Lack of availability,Other",Yes,Maybe,Often,Yes,Retail shop
45-54,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Gin,Vodka",Neutral,Pub,Restaurants,Mint,Glass bottle,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Packaging,Social cause",Not at all,Doesn’t matter,<₹100,Neutral,"Health concerns,Not enough information/branding",Yes,Yes,Always,No,Retail shop
45-54,Female,Working Professional,"<20,000",Tier 2,Occasionally,"Beer,Rum,Cocktails",Neutral,Online,Bars/Pubs,"Berry,Coffee",Glass bottle,Pack of 12,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,No,₹200–₹300,Neutral,"High price,Not enough information/branding,Limited flavour options",Maybe,Yes,Never,No,Online
18-24,Female,Working Professional,"20,000–50,000",Tier 1,Never,"Whiskey,Rum",Likely,Pub,At home,Guava,Glass bottle,Pack of 6,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Likely,"Other,Lack of availability,Limited flavour options",Maybe,Yes,Often,Yes,Online
18-24,Male,Working Professional,"20,000–50,000",Tier 2,Rarely,"Beer,Whiskey,Rum",Likely,Online,At home,"Pineapple,Orange,Mango",Can,Pack of 12,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,No,₹200–₹300,Very likely,"High price,Limited flavour options,Health concerns",Yes,Maybe,Often,Yes,Bar
45-54,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Vodka,Whiskey",Likely,Retail shop,At home,Pineapple,Glass bottle,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Very likely,"High price,Health concerns,Lack of availability",No,Maybe,Often,No,Bar
25-34,Female,Other,"50,000–1,00,000",Metro,Frequently,"Vodka,Whiskey,Gin",Very unlikely,Bar,Restaurants,"Berry,Orange",Can,Pack of 24,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Not enough information/branding,Limited flavour options,High price",Yes,Maybe,Always,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 2,Rarely,"Beer,Whiskey",Likely,Online,Restaurants,Mango,No preference,Pack of 2,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Not at all,Yes,<₹100,Likely,"Lack of availability,High price",Yes,No,Often,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Cocktails,Whiskey",Likely,Restaurant,At home,Orange,Can,Pack of 6,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,No,<₹100,Neutral,Poor packaging,Yes,Yes,Occasionally,Yes,Retail shop
25-34,Male,Homemaker,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Gin",Very likely,Retail shop,Restaurants,"Litchi,Orange",No preference,Pack of 12,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Neutral,Poor packaging,Yes,Yes,Often,Yes,Retail shop
35-44,Male,Homemaker,"20,000–50,000",Metro,Frequently,Gin,Neutral,Other,Social gatherings,Classic,Can,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,Yes,₹100–₹200,Very likely,Lack of availability,Maybe,Maybe,Often,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Never,Other,Likely,Duty-free,Restaurants,"Berry,Orange",Glass bottle,Pack of 6,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Doesn’t matter,₹200–₹300,Likely,Lack of availability,No,No,Occasionally,No,Retail shop
18-24,Female,Working Professional,">1,00,000",Tier 1,Rarely,"Whiskey,Rum,Beer",Likely,Online,At home,"Coffee,Litchi,Guava",Can,Pack of 2,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"Health concerns,Limited flavour options,High price",No,Yes,Always,No,Retail shop
25-34,Male,Working Professional,"<20,000",Tier 2,Occasionally,"Whiskey,Beer,Cocktails",Very unlikely,Online,Social gatherings,Berry,Glass bottle,Pack of 24,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Yes,₹200–₹300,Neutral,"High price,Not enough information/branding,Health concerns",Yes,Yes,Often,No,Retail shop
25-34,Female,Homemaker,"<20,000",Metro,Occasionally,"Cocktails,Vodka",Neutral,Retail shop,At home,"Classic,Orange,Pineapple",No preference,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,No,>₹300,Neutral,Not enough information/branding,No,Yes,Occasionally,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Cocktails,Beer,Whiskey",Very likely,Bar,Restaurants,"Orange,Guava",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Doesn’t matter,<₹100,Neutral,Lack of availability,Maybe,Yes,Often,No,Restaurant
35-44,Male,Student,"50,000–1,00,000",Tier 3/Rural,Occasionally,Beer,Likely,Retail shop,Bars/Pubs,Lime,Can,Pack of 2,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Neutral,"Limited flavour options,High price,Not enough information/branding",No,No,Often,Yes,Bar
18-24,Female,Entrepreneur,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Gin,Beer,Other",Neutral,Pub,At home,Classic,No preference,Pack of 12,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,"Health concerns,Limited flavour options,Lack of availability",Maybe,Yes,Often,Yes,Retail shop
35-44,Male,Homemaker,"20,000–50,000",Tier 1,Rarely,"Cocktails,Whiskey",Neutral,Duty-free,Restaurants,Guava,Can,Pack of 24,Not interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,"Lack of availability,High price",Yes,Yes,Occasionally,No,Restaurant
35-44,Male,Homemaker,"<20,000",Tier 3/Rural,Rarely,"Whiskey,Vodka",Very likely,Pub,Restaurants,"Lime,Guava,Pineapple",Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Yes,<₹100,Very likely,"Health concerns,Limited flavour options,High price",Maybe,Yes,Occasionally,No,Other
25-34,Female,Student,">1,00,000",Tier 1,Occasionally,Cocktails,Very unlikely,Other,Social gatherings,"Litchi,Guava",No preference,Pack of 12,Not interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,No,₹100–₹200,Likely,"Lack of availability,Other,Health concerns",Yes,Yes,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Whiskey",Very unlikely,Pub,Bars/Pubs,"Mango,Orange,Classic",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Yes,>₹300,Likely,"Limited flavour options,Lack of availability",Yes,Yes,Occasionally,No,Online
35-44,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,Cocktails,Neutral,Retail shop,Social gatherings,"Guava,Lime,Litchi",Glass bottle,Pack of 24,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,High price,Yes,Maybe,Often,No,Retail shop
35-44,Female,Student,"20,000–50,000",Tier 2,Occasionally,"Beer,Other",Likely,Pub,At home,"Mint,Mango",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,>₹300,Very likely,Lack of availability,Yes,Yes,Occasionally,No,Online
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Beer",Likely,Restaurant,Restaurants,"Mint,Guava,Orange",Glass bottle,Pack of 24,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Yes,₹100–₹200,Very likely,"Limited flavour options,High price,Poor packaging",Yes,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Gin",Very likely,Retail shop,At home,"Mango,Lime",Can,Pack of 2,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,Yes,>₹300,Very likely,"High price,Other",Yes,No,Occasionally,Yes,Restaurant
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Rum",Very likely,Online,Social gatherings,"Pineapple,Guava,Coffee",Can,Pack of 12,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Doesn’t matter,₹100–₹200,Neutral,"Limited flavour options,Not enough information/branding,High price",No,Yes,Occasionally,Yes,Retail shop
18-24,Male,Homemaker,"50,000–1,00,000",Tier 1,Occasionally,"Beer,Gin",Very likely,Retail shop,Social gatherings,Guava,Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Yes,₹100–₹200,Likely,Limited flavour options,Yes,No,Often,No,Online
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Gin,Rum",Neutral,Restaurant,At home,Mango,Can,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Doesn’t matter,<₹100,Likely,"Health concerns,Poor packaging",Maybe,No,Often,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,Whiskey,Very unlikely,Retail shop,Outdoors,"Berry,Guava,Classic",Glass bottle,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Likely,"Lack of availability,High price",No,Maybe,Always,No,Retail shop
45-54,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Cocktails",Likely,Restaurant,Social gatherings,"Litchi,Pineapple,Berry",Can,Pack of 12,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very likely,Poor packaging,No,Yes,Occasionally,No,Bar
45-54,Female,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Whiskey,Other",Likely,Duty-free,At home,"Berry,Litchi,Orange",No preference,Pack of 24,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Very likely,Health concerns,Yes,Maybe,Occasionally,No,Online
18-24,Prefer not to say,Student,"20,000–50,000",Tier 2,Rarely,"Whiskey,Vodka",Unlikely,Online,At home,Guava,Can,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,No,>₹300,Likely,Not enough information/branding,Yes,Maybe,Often,Yes,Retail shop
55+,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Beer",Neutral,Bar,Bars/Pubs,"Orange,Guava",Can,Pack of 2,Very interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,No,₹100–₹200,Very likely,"Limited flavour options,High price,Not enough information/branding",Yes,Yes,Never,No,Other
25-34,Male,Student,"20,000–50,000",Tier 1,Rarely,Beer,Likely,Online,Outdoors,"Berry,Mango",Can,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Likely,Health concerns,Yes,Yes,Occasionally,Yes,Restaurant
25-34,Male,Student,"50,000–1,00,000",Tier 1,Occasionally,Beer,Neutral,Bar,At home,"Coffee,Mango",Glass bottle,Pack of 24,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Yes,<₹100,Likely,"Limited flavour options,Lack of availability",Maybe,Yes,Often,Yes,Retail shop
18-24,Female,Working Professional,"<20,000",Tier 1,Occasionally,Gin,Likely,Online,At home,"Coffee,Berry",No preference,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very likely,High price,Maybe,Yes,Often,Yes,Retail shop
35-44,Male,Student,"20,000–50,000",Tier 2,Rarely,"Whiskey,Gin",Unlikely,Retail shop,Outdoors,"Orange,Lime,Mint",Can,Pack of 24,Not interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,<₹100,Likely,"Lack of availability,Limited flavour options",No,Yes,Often,Yes,Retail shop
55+,Female,Working Professional,">1,00,000",Tier 3/Rural,Occasionally,Beer,Very unlikely,Online,Social gatherings,"Mint,Litchi",Glass bottle,Pack of 12,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,<₹100,Very likely,Health concerns,Yes,Yes,Occasionally,No,Online
35-44,Female,Student,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Vodka",Likely,Retail shop,Outdoors,Guava,Can,Pack of 2,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Doesn’t matter,₹100–₹200,Neutral,Limited flavour options,No,No,Occasionally,Yes,Retail shop
45-54,Female,Working Professional,"20,000–50,000",Tier 2,Rarely,"Gin,Whiskey",Likely,Restaurant,Outdoors,Coffee,No preference,Pack of 2,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very likely,"Health concerns,Limited flavour options,Poor packaging",Maybe,Yes,Often,No,Online
25-34,Male,Homemaker,"50,000–1,00,000",Metro,Frequently,"Gin,Whiskey,Beer",Very likely,Retail shop,Restaurants,"Orange,Coffee",Glass bottle,Pack of 24,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Likely,Poor packaging,Maybe,Yes,Never,Yes,Retail shop
18-24,Female,Homemaker,"<20,000",Tier 2,Occasionally,Vodka,Likely,Other,At home,Mint,Glass bottle,Pack of 6,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"High price,Lack of availability",Yes,Yes,Never,Yes,Retail shop
55+,Male,Working Professional,"<20,000",Metro,Never,"Vodka,Gin",Neutral,Restaurant,At home,"Mint,Mango,Orange",No preference,Pack of 6,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,No,>₹300,Very likely,Other,No,Yes,Often,Yes,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Gin,Cocktails",Likely,Online,At home,"Mint,Mango",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Not at all,Doesn’t matter,₹200–₹300,Likely,"Lack of availability,Poor packaging",Yes,Maybe,Occasionally,Yes,Bar
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Vodka,Beer,Other",Very likely,Bar,Restaurants,Orange,Glass bottle,Pack of 6,Neutral,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,No,₹200–₹300,Very likely,Limited flavour options,Yes,No,Often,Yes,Online
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,Beer,Neutral,Pub,Outdoors,"Pineapple,Mango",Glass bottle,Pack of 12,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Very unlikely,High price,No,Maybe,Occasionally,No,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,Rum,Likely,Duty-free,Social gatherings,"Classic,Lime,Mint",Glass bottle,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Neutral,"Other,Limited flavour options,Health concerns",No,Maybe,Occasionally,Yes,Bar
